"filename", "language", "Markdown", "Rust", "TOML", "YAML", "XML", "JSON", "Ignore", "comment", "blank", "total"
"c:\Users\shubh\projects\comrade\tests\if.rs", "Rust", 0, 63, 0, 0, 0, 0, 0, 0, 2, 65
"c:\Users\shubh\projects\comrade\tests\include.rs", "Rust", 0, 45, 0, 0, 0, 0, 0, 0, 2, 47
"c:\Users\shubh\projects\comrade\tests\let.rs", "Rust", 0, 50, 0, 0, 0, 0, 0, 0, 3, 53
"c:\Users\shubh\projects\comrade\tests\match.rs", "Rust", 0, 166, 0, 0, 0, 0, 0, 0, 2, 168
"c:\Users\shubh\projects\comrade\tests\math.rs", "Rust", 0, 51, 0, 0, 0, 0, 0, 0, 3, 54
"c:\Users\shubh\projects\comrade\tests\public.rs", "Rust", 0, 50, 0, 0, 0, 0, 0, 0, 2, 52
"c:\Users\shubh\projects\comrade\tests\return.rs", "Rust", 0, 72, 0, 0, 0, 0, 0, 0, 3, 75
"c:\Users\shubh\projects\comrade\tests\struct.rs", "Rust", 0, 39, 0, 0, 0, 0, 0, 0, 2, 41
"c:\Users\shubh\projects\comrade\tests\while.rs", "Rust", 0, 108, 0, 0, 0, 0, 0, 0, 2, 110
"Total", "-", 114, 3102, 7, 17, 35, 100, 4, 142, 295, 3816
